Nemotécnico,Emisor,Clase de título,Fecha de vencimiento,Cantidad,Volúmenes
TDAIBRA,FINAGRO,-,-,173713168000,173713168000
TDAIBRB,FINAGRO,-,-,115903299000,115903299000
TFIT11090233,GOBIERNO NACIONAL,TITULOS TES,Tue Feb 08 2033 19:00:00 GMT-0500 (Colombia Standard Time),10000000000,13369400000
TFIT31261050,GOBIERNO NACIONAL,TITULOS TES,Tue Oct 25 2050 19:00:00 GMT-0500 (Colombia Standard Time),12000000000,9137196000
TDAINTB,FINAGRO,-,-,5817612000,5817612000
TDAINTA,FINAGRO,-,-,3870167340,3870167340
TFIT21280542,GOBIERNO NACIONAL,TITULOS TES,Tue May 27 2042 19:00:00 GMT-0500 (Colombia Standard Time),2000000000,1974492000
TIDISDVL,GOBIERNO NACIONAL,TIDIS-TIT.DEVOLUCION IMPUESTOS,Wed Dec 18 2024 19:00:00 GMT-0500 (Colombia Standard Time),60207000,59183481
