Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TOVX,Theriva Biologics Inc. Common Stock,$0.47,-0.01,-2.083%,8010100.00,United States,,43715,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.10,-0.012,-10.714%,3189829.00,,2023,1239705,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.1466,0.0006,0.411%,5636006.00,,,102389,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$5.55,-0.1964,-3.418%,23141030.00,United States,1998,1141,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.3785,0.0022,0.585%,105635843.00,Canada,,252770,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.2599,0.0256,10.926%,27977538.00,United States,,692786,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.1998,0.0098,0.824%,8549784.00,United States,,169975,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$6.785,0.345,5.357%,2666367427.00,Canada,,4425280,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$2.75,0.14,5.364%,23972451.00,,2024,24238,,
URG,Ur Energy Inc Common Shares (Canada),$1.655,0.075,4.747%,440211990.00,Canada,,3942323,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.2414,0.0043,1.814%,52402543.00,Canada,2017,416719,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$26.67,0.12,0.452%,0.00,United States,2004,279714,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.46,0.01,0.69%,3376815.00,United States,2003,6313,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.38,0.28,4.59%,1043577104.00,Canada,,2663666,,
VCXB,10X Capital Venture Acquisition Corp. III Class A Ordinary Shares,$10.78,0.005,0.046%,163955068.00,,2022,212,Finance,Blank Checks
VFL,abrdn National Municipal Income Fund Common Stock,$10.38,0.05,0.484%,0.00,United States,1993,21438,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.48,0.046,10.599%,58122477.00,United States,1986,439450,,
VINE,Fresh Vine Wine Inc. Common Stock,$0.74,-0.016,-2.116%,11822408.00,,2021,108052,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.61,0.00,0.00%,382335832.00,United States,1993,51073,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.9693,-0.0247,-2.485%,76270217.00,Singapore,2015,22497,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VTAK,Catheter Precision Inc. Common Stock,$0.545,-0.0141,-2.522%,3829540.00,,2018,22419,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.1601,-0.0099,-0.846%,241293629.00,,2022,210104,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.42,0.01,0.709%,230918937.00,Canada,2011,186891,,
WWR,Westwater Resources Inc. Common Stock,$0.495,-0.0094,-1.864%,27143763.00,United States,,120194,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$2.70,0.10,3.846%,23877917.00,United States,,12356,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.55,-0.005,-0.901%,43497497.00,United States,,34113,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.125,0.005,0.446%,146374031.00,United States,,79083,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.7101,-0.0149,-2.055%,2162320.00,United States,2017,5471,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$0.6912,-0.0388,-5.315%,,United States,,629,,
ZDGE,Zedge Inc. Class B Common Stock ,$3.68,-0.07,-1.867%,52824829.00,,2016,26632,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.1387,0.0057,4.286%,131758019.00,United States,2017,3317315,Health Care,Biotechnology: Pharmaceutical Preparations
