Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GBR,New Concept Energy Inc Common Stock,$1.025,0.0149,1.475%,5260232.00,United States,1993,3226,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$16.3101,-0.2799,-1.687%,239068585.00,United States,,3809,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.78,0.02,0.532%,0.00,United States,2005,411712,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.2712,0.0512,0.23%,,United States,,1550,,
GLDG,GoldMining Inc. Common Shares,$0.8327,0.0307,3.828%,153083966.00,,,255327,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.06,0.05,0.998%,0.00,United States,2006,177105,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.4697,0.0647,1.01%,0.00,United States,2005,56031,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$13.531,0.0481,0.357%,80765335.00,United States,2004,13356,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$43.27,0.00,0.00%,,United States,,5,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.5607,0.0107,0.193%,70674178.00,United States,2004,65262,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.3118,0.0188,6.416%,15870638.00,Singapore,2022,2983247,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$0.2903,0.0103,3.679%,25747879.00,United States,,812511,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.20,-0.1002,-1.077%,0.00,United States,,437,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.3842,-0.0358,-8.524%,298695099.00,,2022,41308,,
GROY,Gold Royalty Corp. Common Shares,$1.835,-0.015,-0.811%,266020473.00,Canada,2021,678549,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.305,0.035,2.756%,2479500000.00,United States,2006,3115061,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$5.74,0.15,2.683%,185094916.00,Canada,,336099,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$1.88,-0.05,-2.591%,0.00,,2022,1310,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.50,0.0425,0.371%,0.00,United States,2007,18095,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.2999,-0.0001,-0.008%,14177168.00,United States,,35346,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$60.00,0.00,0.00%,,United States,,48,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.215,0.065,1.566%,0.00,United States,1985,96414,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.52,0.06,4.11%,453720508.00,Canada,2022,1689728,,
IBIO,iBio Inc. Common Stock,$1.1693,-0.0307,-2.558%,4074152.00,United States,,59248,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$8.08,-0.13,-1.583%,99032706.00,,2022,12355,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.15,0.49,5.658%,1100803688.00,Canada,2022,537443,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.3234,-0.005,-1.523%,20611718.00,United States,,238877,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.60,-0.0002,-0.012%,14409290.00,United States,1999,1492,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$64.45,0.59,0.924%,36521695755.00,Canada,1929,192187,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.20,-0.06,-2.655%,22308000.00,,2019,9638,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$9.2999,0.0899,0.976%,197004673.00,United States,,8547,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$8.73,-1.175,-11.863%,35563899.00,,2022,18326,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$11.36,0.03,0.265%,138152504.00,United States,1997,75772,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.5106,0.0049,0.969%,71086132.00,United States,,745893,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$16.10,0.00,0.00%,67111465.00,United States,1987,1,Real Estate,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$14.69,0.15,1.032%,55993124.00,United States,,2655,Consumer Discretionary,Publishing
ITP,IT Tech Packaging Inc. Common Stock,$0.31,0.032,11.511%,3120435.00,China,,22519,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$0.7206,0.0276,3.983%,49561085.00,,,156975,,
